
2024-12-27 13:30;23843;Assistance;Odbierz pojazd;;KTA7582K;Olsztyn;Północ;
2024-12-27 15:30;23647;OC Sprawcy;Odbierz pojazd;;WE932WU;Toruń;Centrum;
2024-12-27 16:30;24992;Assistance;Wydaj pojazd;;PO7RP44;Chojnice;Północ;89 2000 sprzedane karta
2024-12-27 16:30;24820;Assistance;Odbierz pojazd;;PY57570;Giżycko;Północ;
2024-12-27 17:00;24168;Assistance;Odbierz pojazd;;EL6LR59;Gryfice;Północ;
2024-12-27 17:00;23242;OC Sprawcy;Odbierz pojazd;;WJ3259N;Gorzów Wielkopolski;Północ;
2024-12-27 17:30;23463;OC Sprawcy;Odbierz pojazd;;KTA7460K;Szczecin;Północ;
2024-12-27 18:00;24174;Assistance;Odbierz pojazd;;KTA7538K;Giżycko;Północ;
2024-12-27 18:00;24679;Assistance;Odbierz pojazd;;KTA7812K;Słupsk;Północ;
2024-12-27 19:00;18168;OC Sprawcy;Odbierz pojazd;;PY71128;Rzeszów;Południe;
2024-12-27 20:00;23555;OC Sprawcy;Odbierz pojazd;;EL2KU93;Elbląg;Północ;
2024-12-27 20:00;24692;Assistance;Odbierz pojazd;;PY76028;Słupsk;Północ;
2024-12-28 08:30;24260;Assistance;Odbierz pojazd;;PY41192;Poznań;Centrum;9.30 max klient wyjezdza max musimy być o 9
2024-12-28 09:30;24935;Assistance;Wydaj pojazd;;KTA1395L;Kraków;Południe;uw1000 stc 227 do sprzedania 5/5
2024-12-28 10:00;24945;Assistance;Wydaj pojazd;;PY2866E;Warszawa;Wschód;
2024-12-28 12:00;24968;Assistance;Wydaj pojazd;;PY76032;Szczecinek;Północ;uw2000 stc89 sprzedane 7/x karta
2024-12-28 12:00;24233;Indywidualny P.H.;Odbierz pojazd;;PY4337A;Poznań;Centrum;
2024-12-28 13:00;23576;Assistance;Odbierz pojazd;;WJ2596N;Gdańsk;Północ;Opłata odbiór za km - karta
